Portal,Latitude,Longitude,Discovered
Parquinho Faculdade Senai,-26.503634,-49.088553,S0matropina (Res) 
Recanto dos Papagaios,-25.464786,-49.764678,MutiNeeR79 (Enl) 
Academia ao Ar Livre,-25.546198,-49.890504,MutiNeeR79 (Enl) 
Praça Mário Alves Guimarães ,-25.546196,-49.890102,MutiNeeR79 (Enl) 
Quadra Poliesportiva - Boa Vista,-26.114691,-49.408578,RSarandiel (Enl) 
Igreja Evangélica,-25.799834,-48.532478,moog00 (Res) 
Grajaú Pier 28 Do Litoral,-25.643171,-48.440665,wellsheldon (Res) 
Academia Publica Coahb,-26.23492,-49.500547,AndrioRSB (Enl) 
Igreja,-26.271181,-49.367581,Barghyst (Res) 
Câmara Municipal de Porto Amazonas,-25.546523,-49.890518,MutiNeeR79 (Enl) 
Igreja Pentecostal Unidos Do Brasil,-26.24264,-49.372575,RSarandiel (Enl) 
Calçadão,-25.679637,-48.457353,wellsheldon (Res) 
Cruz Sagrada,-26.244754,-49.429804,ElrikAhryman (Res) 
Área de Lazer Quiriri,-26.133191,-49.008067,Demoraes (Res) 
Capela São Sebastião ,-26.076262,-49.420866,RSarandiel (Enl) 
Chaminé Olaria Pedro Ivo,-26.268931,-49.384951,RSarandiel (Enl) 
Congregação Cristã No Brasil,-26.125905,-49.826361,CleyErz (Res) 
Sociedade Esportiva E Recreativa São Bento. ,-26.268789,-49.386284,RSarandiel (Enl) 
Igreja Cristã Em Cristo ,-26.23534,-49.372035,RSarandiel (Enl) 
Igreja Nossa Senhora das dores ,-25.928066,-49.179148,RSarandiel (Enl) 
Primeira Máquina Para Fazer Estradas,-25.460684,-49.558599,Kavoz (Res) 
Associação De Atiradores,-26.243883,-49.380865,Barghyst (Res) 
Paróquia Menino Jesus,-25.542917,-49.889852,MutiNeeR79 (Enl) 
Pista De Skate,-26.193037,-49.262336,AndrioRSB (Enl) 
Parquinho Infantil,-25.546097,-49.890307,MutiNeeR79 (Enl) 
Igreja Assembleia De Deus,-26.125473,-49.828254,CleyErz (Res) 
Igreja Purunã,-25.474052,-49.712818,MutiNeeR79 (Enl) 
Igreja Quadrangular,-26.268956,-49.367636,Barghyst (Res) 
Igreja São Miguel ,-26.213493,-49.376389,RSarandiel (Enl) 
Parquinho em Tijucas,-25.92765,-49.179469,RSarandiel (Enl) 
Comunidade Cristã Paz É Vida,-25.454431,-49.535388,Kavoz (Res) 
Igreja São José ,-25.438128,-50.004189,MutiNeeR79 (Enl) 
Heróis de Tijucas ,-25.927616,-49.179241,RSarandiel (Enl) 
Igreja,-26.268724,-49.365812,Barghyst (Res) 
Bosque dos esquilos ,-26.242089,-49.338533,RSarandiel (Enl) 
Casa Avelã,-26.105271,-49.800291,FJRmiiller (Enl) 
Academia ao Ar Livre,-25.438249,-50.012374,MutiNeeR79 (Enl) 
Ginasio De Esportes,-26.219144,-49.391279,Barghyst (Res) 
Associação De Moradores Do Bairro Progresso,-26.238991,-49.36981,RSarandiel (Enl) 
Parque Estadual Rio Da Onça,-25.789371,-48.526578,AsthompBr (Enl) AsthompBr (Enl) 
Centro Ecumênico UP,-25.44902,-49.356764,gxenxen (Res) 
Antigo Mercado Municipal ,-26.112937,-49.801396,FJRmiiller (Enl) 
Capela Jesus Consola As Mulheres De Jerusalen,-26.516876,-49.080794,Diogosav (Res) 
Igreja Pentecostal,-26.496949,-49.115679,S0matropina (Res) 
Campo De Areia Figueira,-26.482253,-49.037472,PowManot (Enl) 
Igreja Deus É Amor,-26.118621,-49.787507,CleyErz (Res) 
Praça Octávio Sylvio Nicco,-25.435122,-49.336461,IghorWM (Res) 
Igreja Nossa Senhora Auxiliadora,-26.150364,-48.904405,FeExred (Enl) 
Pão Para A Vida,-25.451392,-49.293447,Vorkor (Enl) 
Igreja Evangélica Casa De Deus,-26.485377,-49.117832,S0matropina (Res) 
Complexo Esportivo Jaraguá,-26.50789,-49.110259,PowManot (Enl) 
Bloco De Quimica E Biologia - Campus Ecoville - UTFPR,-25.443046,-49.354046,Trauss (Res) 
Igreja Da Família,-26.488953,-49.09187,LauraPaula (Enl) 
Quadra Santuário,-25.45776,-49.340742,VulturGryphus (Res) 
Grafitw Movie,-25.44977,-49.306324,Fabionik (Enl) 
Pety Paio,-26.275101,-48.860065,DKoSh (Enl) 
Igreja Nossa Senhora Da Guia,-25.491599,-49.309046,TCHEBERS (Res) 
Capela Jesus Encontra Sua Santíssima Mãe ,-26.511224,-49.084335,Diogosav (Res) 
